message_id,cloud,semester,subject,year,resource_type,file_link,backup_file_link,from_id,chat_id,date,file_name,mime_type,file_id,file_unique_id,file_size
5476,5,/SEMESTER1,/Physics,/2023,/Notes,https://t.me/unicloudgndu/5,https://t.me/c/-4566364009/5476,1789016259,1789016259,1725724811,python sub all possible Q sol till midsem-checkpoint.ipynb,application/octet-stream,BQACAgUAAxkBAAIU0GbcSIvYK2ormt0WxM-EJeX9NzyjAALkEgACWtbgVumrfFUPplmjNgQ,AgAD5BIAAlrW4FY,16492
5477,6,/SEMESTER1,/Physics,/2023,/Notes,https://t.me/unicloudgndu/6,https://t.me/c/-4566364009/5477,1789016259,1789016259,1725724811,Quesations for python-checkpoint.ipynb,application/octet-stream,BQACAgUAAxkBAAIUw2bcR2E6aLUVaQYCWubLcF5EV7-BAALjEgACWtbgVvMK-7SCeTMjNgQ,AgAD4xIAAlrW4FY,4644
5478,7,/SEMESTER1,/Physics,/2023,/Notes,https://t.me/unicloudgndu/7,https://t.me/c/-4566364009/5478,1789016259,1789016259,1725724811,python sub all possible Q sol till midsem-checkpoint.ipynb,application/octet-stream,BQACAgUAAxkBAAIU0GbcSIvYK2ormt0WxM-EJeX9NzyjAALkEgACWtbgVumrfFUPplmjNgQ,AgAD5BIAAlrW4FY,16492
5479,8,/SEMESTER1,/Physics,/2023,/Notes,https://t.me/unicloudgndu/8,https://t.me/c/-4566364009/5479,1789016259,1789016259,1725724811,python sub all possible Q sol till midsem-checkpoint.ipynb,application/octet-stream,BQACAgUAAxkBAAIU0GbcSIvYK2ormt0WxM-EJeX9NzyjAALkEgACWtbgVumrfFUPplmjNgQ,AgAD5BIAAlrW4FY,16492
5480,9,/SEMESTER1,/Physics,/2023,/Notes,https://t.me/unicloudgndu/9,https://t.me/c/-4566364009/5480,1789016259,1789016259,1725724812,Quesations for python-checkpoint.ipynb,application/octet-stream,BQACAgUAAxkBAAIUw2bcR2E6aLUVaQYCWubLcF5EV7-BAALjEgACWtbgVvMK-7SCeTMjNgQ,AgAD4xIAAlrW4FY,4644
5483,10,/SEMESTER1,/Physics,/2023,/Notes,https://t.me/unicloudgndu/10,https://t.me/c/-4566364009/5483,1789016259,1789016259,1725724812,python sub all possible Q sol till midsem-checkpoint.ipynb,application/octet-stream,BQACAgUAAxkBAAIU0GbcSIvYK2ormt0WxM-EJeX9NzyjAALkEgACWtbgVumrfFUPplmjNgQ,AgAD5BIAAlrW4FY,16492
5485,11,/SEMESTER1,/Physics,/2023,/Notes,https://t.me/unicloudgndu/11,https://t.me/c/-4566364009/5485,1789016259,1789016259,1725724812,python sub all possible Q sol till midsem-checkpoint.ipynb,application/octet-stream,BQACAgUAAxkBAAIU0GbcSIvYK2ormt0WxM-EJeX9NzyjAALkEgACWtbgVumrfFUPplmjNgQ,AgAD5BIAAlrW4FY,16492
5487,12,/SEMESTER1,/Physics,/2023,/Notes,https://t.me/unicloudgndu/12,https://t.me/c/-4566364009/5487,1789016259,1789016259,1725724812,Quesations for python-checkpoint.ipynb,application/octet-stream,BQACAgUAAxkBAAIUw2bcR2E6aLUVaQYCWubLcF5EV7-BAALjEgACWtbgVvMK-7SCeTMjNgQ,AgAD4xIAAlrW4FY,4644
5488,13,/SEMESTER1,/Physics,/2023,/Notes,https://t.me/unicloudgndu/13,https://t.me/c/-4566364009/5488,1789016259,1789016259,1725724812,python sub all possible Q sol till midsem-checkpoint.ipynb,application/octet-stream,BQACAgUAAxkBAAIU0GbcSIvYK2ormt0WxM-EJeX9NzyjAALkEgACWtbgVumrfFUPplmjNgQ,AgAD5BIAAlrW4FY,16492
5489,14,/SEMESTER1,/Physics,/2023,/Notes,https://t.me/unicloudgndu/14,https://t.me/c/-4566364009/5489,1789016259,1789016259,1725724812,python sub all possible Q sol till midsem-checkpoint.ipynb,application/octet-stream,BQACAgUAAxkBAAIU0GbcSIvYK2ormt0WxM-EJeX9NzyjAALkEgACWtbgVumrfFUPplmjNgQ,AgAD5BIAAlrW4FY,16492
5490,15,/SEMESTER1,/Physics,/2023,/Notes,https://t.me/unicloudgndu/15,https://t.me/c/-4566364009/5490,1789016259,1789016259,1725724812,Quesations for python-checkpoint.ipynb,application/octet-stream,BQACAgUAAxkBAAIUw2bcR2E6aLUVaQYCWubLcF5EV7-BAALjEgACWtbgVvMK-7SCeTMjNgQ,AgAD4xIAAlrW4FY,4644
5492,16,/SEMESTER1,/Physics,/2023,/Notes,https://t.me/unicloudgndu/16,https://t.me/c/-4566364009/5492,1789016259,1789016259,1725724812,python sub all possible Q sol till midsem-checkpoint.ipynb,application/octet-stream,BQACAgUAAxkBAAIU0GbcSIvYK2ormt0WxM-EJeX9NzyjAALkEgACWtbgVumrfFUPplmjNgQ,AgAD5BIAAlrW4FY,16492
5497,17,/SEMESTER1,/Physics,/2023,/Notes,https://t.me/unicloudgndu/17,https://t.me/c/-4566364009/5497,1789016259,1789016259,1725724812,python sub all possible Q sol till midsem-checkpoint.ipynb,application/octet-stream,BQACAgUAAxkBAAIU0GbcSIvYK2ormt0WxM-EJeX9NzyjAALkEgACWtbgVumrfFUPplmjNgQ,AgAD5BIAAlrW4FY,16492
5498,18,/SEMESTER1,/Physics,/2023,/Notes,https://t.me/unicloudgndu/18,https://t.me/c/-4566364009/5498,1789016259,1789016259,1725724812,Quesations for python-checkpoint.ipynb,application/octet-stream,BQACAgUAAxkBAAIUw2bcR2E6aLUVaQYCWubLcF5EV7-BAALjEgACWtbgVvMK-7SCeTMjNgQ,AgAD4xIAAlrW4FY,4644
5499,19,/SEMESTER1,/Physics,/2023,/Notes,https://t.me/unicloudgndu/19,https://t.me/c/-4566364009/5499,1789016259,1789016259,1725724812,Quesations for python-checkpoint.ipynb,application/octet-stream,BQACAgUAAxkBAAIUw2bcR2E6aLUVaQYCWubLcF5EV7-BAALjEgACWtbgVvMK-7SCeTMjNgQ,AgAD4xIAAlrW4FY,4644
5506,20,/SEMESTER1,/Physics,/2023,/Notes,https://t.me/unicloudgndu/20,https://t.me/c/-4566364009/5506,1789016259,1789016259,1725724811,python sub all possible Q sol till midsem-checkpoint.ipynb,application/octet-stream,BQACAgUAAxkBAAIU0GbcSIvYK2ormt0WxM-EJeX9NzyjAALkEgACWtbgVumrfFUPplmjNgQ,AgAD5BIAAlrW4FY,16492
5507,21,/SEMESTER1,/Physics,/2023,/Notes,https://t.me/unicloudgndu/21,https://t.me/c/-4566364009/5507,1789016259,1789016259,1725724811,Quesations for python-checkpoint.ipynb,application/octet-stream,BQACAgUAAxkBAAIUw2bcR2E6aLUVaQYCWubLcF5EV7-BAALjEgACWtbgVvMK-7SCeTMjNgQ,AgAD4xIAAlrW4FY,4644
